year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2009,Xseed Games,0.1825,6.6,Rune Factory: Frontier,JU-ON: The Grudge,Retro Game Challenge,JU-ON: The Grudge
2010,2K Games,3.4,7.75,BioShock 2,Mafia II,BioShock 2,Mafia II
2010,2K Sports,1.163333333,5.966666667,NBA 2K11,NHL 2K11,NBA 2K11,Major League Baseball 2K10
2010,505 Games,0.515,4.8,Naughty Bear,Backbreaker,Backbreaker,Naughty Bear
2010,Activision,3.546666667,6.641666667,Call of Duty: Black Ops,Apache: Air Assault,DJ Hero 2,Transformers: Cybertron Adventures
2010,Aksys Games,0.338,7.88,BlazBlue: Continuum Shift,BlazBlue: Calamity Trigger Portable,BlazBlue: Continuum Shift,Record of Agarest War
2010,Atari,0.02,5.9,Star Trek Online,Star Trek Online,Star Trek Online,Star Trek Online
2010,Atlus,0.144,6.68,Shiren the Wanderer,Metal Slug XX,Trauma Team,Naruto Shippuden: Dragon Blade Chronicles
2010,Bethesda Softworks,7.25,8.2,Fallout: New Vegas,Fallout: New Vegas,Fallout: New Vegas,Fallout: New Vegas
2010,CDV Software Entertainment,0.31,6,Divinity II: Ego Draconis,Divinity II: Ego Draconis,Divinity II: Ego Draconis,Divinity II: Ego Draconis
2010,Capcom,0.902222222,7.366666667,Dead Rising 2,Resident Evil 5: Gold Edition,Resident Evil 5: Gold Edition,Sengoku Basara: Samurai Heroes
2010,City Interactive,1.99,4.3,Sniper: Ghost Warrior,Sniper: Ghost Warrior,Sniper: Ghost Warrior,Sniper: Ghost Warrior
2010,Codemasters,2.27,8,F1 2010,F1 2010,F1 2010,F1 2010
2010,Conspiracy Entertainment,0.05,5,Rock of the Dead,Rock of the Dead,Rock of the Dead,Rock of the Dead
2010,D3 Publisher,0.05,6.15,Blue Dragon: Awakened Shadow,Matt Hazard: Blood Bath and Beyond,Matt Hazard: Blood Bath and Beyond,Blue Dragon: Awakened Shadow
2010,Deep Silver,0.46,2.5,Prison Break: The Conspiracy,Prison Break: The Conspiracy,Prison Break: The Conspiracy,Prison Break: The Conspiracy
2010,Disney Interactive Studios,1.146666667,7.4,Toy Story 3: The Video Game,Split/Second,Split/Second,Alice in Wonderland
2010,EA Sports,3.019,7.52,FIFA Soccer 11,NBA Jam,NHL 11,NCAA Football 11
2010,Electronic Arts,2.202307692,6.961538462,Battlefield: Bad Company 2,Command & Conquer 4: Tiberian Twilight,Mass Effect 2,Army of Two: The 40th Day
2010,Focus Home Interactive,0.24,5,Blood Bowl,Blood Bowl,Blood Bowl,Blood Bowl
2010,From Software,0.03,5,Armored Core: Last Raven Portable,Armored Core: Last Raven Portable,Armored Core: Last Raven Portable,Armored Core: Last Raven Portable
2010,Funcom,0.03,7.9,Age of Conan: Rise of the Godslayer,Age of Conan: Rise of the Godslayer,Age of Conan: Rise of the Godslayer,Age of Conan: Rise of the Godslayer
2010,Headup Games,0,4.2,Twin Sector,Twin Sector,Twin Sector,Twin Sector
2010,Hudson Soft,0.166666667,4.933333333,DECA Sports Freedom,Rooms: The Main Building,Rooms: The Main Building,DECA Sports Freedom
2010,Ignition Entertainment,0.26,6,Deadly Premonition,Deadly Premonition,Deadly Premonition,Deadly Premonition
2010,JoWood Productions,0.27,5.8,Arcania: Gothic 4,Arcania: Gothic 4,Arcania: Gothic 4,Arcania: Gothic 4
2010,KOEI,0.07,6,Again,Again,Again,Again
2010,Kalypso,0.12,6.55,DarkStar One: Broken Alliance,Patrician IV,Patrician IV,DarkStar One: Broken Alliance
2010,Konami,0.878,6.59,Pro Evolution Soccer 2011,Puzzle Chronicles,Metal Gear Solid: Peace Walker,Saw II: Flesh & Blood
2010,LucasArts,3.98,4,Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed II,Star Wars: The Force Unleashed II
2010,MTV Games,1.5,8.15,Rock Band 3,Green Day: Rock Band,Rock Band 3,Green Day: Rock Band
2010,Majesco,0.38,5.366666667,Tetris Party Deluxe,Data East Arcade Classics,Tetris Party Deluxe,Babysitting Mama
2010,Microsoft Game Studios,3.483333333,7.533333333,Halo: Reach,Crackdown 2,Halo: Reach,Kinect Joy Ride
2010,NIS America,0.184,6.64,"Sakura Wars: So Long, My Love",Last Rebellion,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,Last Rebellion
2010,Namco Bandai,0.574,6.37,Dragon Ball: Raging Blast 2,Clash of the Titans: The Videogame,Enslaved: Odyssey to the West,Clash of the Titans: The Videogame
2010,Natsume,0.285,7.9,Rune Factory 3: A Fantasy Harvest Moon,Lufia: Curse of the Sinistrals,Rune Factory 3: A Fantasy Harvest Moon,Lufia: Curse of the Sinistrals
2010,Nintendo,0.576666667,7.016666667,Metroid: Other M,Last Window: The Secret of Cape West,Picross 3D,FlingSmash
2010,Paradox Interactive,0.005,7.2,Lionheart: Kings' Crusade,Victoria II,Victoria II,Lionheart: Kings' Crusade
2010,PopCap Games,1.38,8.1,Plants vs. Zombies,Plants vs. Zombies,Plants vs. Zombies,Plants vs. Zombies
2010,Rockstar Games,7.68,9.75,Red Dead Redemption,Red Dead Redemption: Undead Nightmare,Red Dead Redemption: Undead Nightmare,Red Dead Redemption
2010,Sega,1.041764706,7.082352941,Sonic & SEGA All-Stars Racing,Infinite Space,Football Manager 2011,Sonic Free Riders
2010,Sony Computer Entertainment,0.831176471,6.835294118,Sports Champions,echoshift,PixelJunk Monsters Deluxe,Kung Fu Rider
2010,SouthPeak Interactive,0.06,6.333333333,Dementium II,Crime Scene,Crime Scene,TNA iMPACT: Cross the Line
2010,Square Enix,2.077142857,7.457142857,Final Fantasy XIII,Supreme Commander 2,Supreme Commander 2,Kane & Lynch 2: Dog Days
2010,THQ,1.183333333,7.766666667,UFC Undisputed 2010,"Warhammer 40,000: Dawn of War II - Chaos Rising","Warhammer 40,000: Dawn of War II - Chaos Rising",WWE SmackDown vs. Raw 2011
2010,Team17 Software,0.05,8.5,Worms Reloaded,Worms Reloaded,Worms Reloaded,Worms Reloaded
2010,Tecmo,0.2,4.5,Dead or Alive Paradise,Dead or Alive Paradise,Dead or Alive Paradise,Dead or Alive Paradise
2010,Tecmo Koei,0.82,4.8,Fist of the North Star: Ken's Rage,Fist of the North Star: Ken's Rage,Fist of the North Star: Ken's Rage,Fist of the North Star: Ken's Rage
2010,Telltale Games,0.05,7,Back to the Future: The Game,Back to the Future: The Game,Back to the Future: The Game,Back to the Future: The Game
2010,Ubisoft,1.491538462,6.346153846,Assassin's Creed: Brotherhood,Dawn of Discovery: Venice,Assassin's Creed: Brotherhood,Fighters Uncaged
2010,Unknown,0.26,3,Power Gig: Rise of the SixString,Power Gig: Rise of the SixString,Power Gig: Rise of the SixString,Power Gig: Rise of the SixString
2010,Viva Media,0.06,8,S.T.A.L.K.E.R.: Call of Pripyat,S.T.A.L.K.E.R.: Call of Pripyat,S.T.A.L.K.E.R.: Call of Pripyat,S.T.A.L.K.E.R.: Call of Pripyat
2010,Warner Bros. Interactive,2.238,7.38,LEGO Harry Potter: Years 1-4,The Lord of the Rings: Aragorn's Quest,Super Scribblenauts,The Lord of the Rings: Aragorn's Quest
2010,Xseed Games,0.19,7.1,Fragile Dreams: Farewell Ruins of the Moon,Samurai Shodown Sen,Ys: The Oath in Felghana,Samurai Shodown Sen
2011,1C Company,0.06,8,Men of War: Assault Squad,Men of War: Assault Squad,Men of War: Assault Squad,Men of War: Assault Squad
2011,2K Games,1.59,4.3,Duke Nukem Forever,Duke Nukem Forever,Duke Nukem Forever,Duke Nukem Forever
2011,2K Sports,3.085,6.25,NBA 2K12,Top Spin 4,NBA 2K12,Top Spin 4
2011,505 Games,0.405,4.75,Rugby World Cup 2011,Supremacy MMA,Supremacy MMA,Rugby World Cup 2011
2011,Activision,5.507142857,4.957142857,Call of Duty: Modern Warfare 3,Spider-Man: Edge of Time,Skylanders: Spyro's Adventure,X-Men: Destiny
2011,Aksys Games,0.175,6.95,BlazBlue: Continuum Shift II,BIT.TRIP COMPLETE,BIT.TRIP COMPLETE,BlazBlue: Continuum Shift II
2011,Atari,0.695,6.625,Test Drive Unlimited 2,Dungeons & Dragons: Daggerdale,The Witcher 2: Assassins of Kings,Venetica
2011,Atlus,0.34625,7.15,Catherine,Mahjong Cub3D,Radiant Historia,The Cursed Crusade
2011,Bethesda Softworks,6.5675,7.3,The Elder Scrolls V: Skyrim,Hunted: The Demon's Forge,The Elder Scrolls V: Skyrim,Hunted: The Demon's Forge
2011,Capcom,0.5875,7.6125,Marvel vs. Capcom 3: Fate of Two Worlds,Ultimate Marvel vs. Capcom 3,Super Street Fighter IV: Arcade Edition,MotoGP 10/11
2011,City Interactive,0.23,7,TrackMania: Build to Race,TrackMania: Build to Race,TrackMania: Build to Race,TrackMania: Build to Race
2011,Codemasters,1.27,6.525,F1 2011,Bodycount,DiRT 3,Bodycount
2011,Crave Entertainment,0.1,5.6,Cartoon Network: Punch Time Explosion,Cartoon Network: Punch Time Explosion,Cartoon Network: Punch Time Explosion,Cartoon Network: Punch Time Explosion
2011,D3 Publisher,0.363333333,5.9,White Knight Chronicles II,Dream Trigger 3D,Earth Defense Force: Insect Armageddon,White Knight Chronicles II
2011,Deep Silver,4.67,6.7,Dead Island,Dead Island,Dead Island,Dead Island
2011,Destineer,0.01,6.5,Breach,Breach,Breach,Breach
2011,Disney Interactive Studios,2.5325,6.7,LEGO Pirates of the Caribbean: The Video Game,Phineas and Ferb: Across the 2nd Dimension,LEGO Pirates of the Caribbean: The Video Game,Cars 2
2011,DreamCatcher Interactive,0.1,7.9,The Book of Unwritten Tales,The Book of Unwritten Tales,The Book of Unwritten Tales,The Book of Unwritten Tales
2011,EA Sports,3.753333333,7.2,FIFA Soccer 12,Madden NFL Football,NHL 12,Madden NFL Football
2011,Electronic Arts,2.482,7.166666667,Battlefield 3,Darkspore,Dead Space 2,Harry Potter and the Deathly Hallows - Part 2
2011,Excalibur Publishing,0.01,1.5,Street Cleaning Simulator,Street Cleaning Simulator,Street Cleaning Simulator,Street Cleaning Simulator
2011,Focus Home Interactive,0.05,5.9,Cities XL 2012,A Game of Thrones: Genesis,The Next BIG Thing,A Game of Thrones: Genesis
2011,Hudson Soft,0.12,6.7,Lost in Shadow,Lost in Shadow,Lost in Shadow,Lost in Shadow
2011,Ignition Entertainment,0.44,8,El Shaddai: Ascension of the Metatron,El Shaddai: Ascension of the Metatron,El Shaddai: Ascension of the Metatron,El Shaddai: Ascension of the Metatron
2011,Kalypso,0.1325,6.85,Tropico 4,Air Conflicts: Secret Wars,Tropico 4,Air Conflicts: Secret Wars
