year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
1989,Ultra Games,4.17,5.9,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
1991,Square,0.38,9,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure
1993,Activision,0.18,8,Doom,Doom,Doom,Doom
1993,LucasArts,0,9,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road
1993,Maxis,2.14,8,SimCity 2000,SimCity 2000,SimCity 2000,SimCity 2000
1993,Square,0.76,7,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III
1994,Activision,3.65,8.1,Doom II,Doom II,Doom II,Doom II
1994,Sega,0.19,9,Shining Force II,Shining Force II,Shining Force II,Shining Force II
1995,ASCII Entertainment,0.16,7.1,King's Field,King's Field,King's Field,King's Field
1995,Capcom,0.55,8.3,Breath of Fire II,Breath of Fire II,Breath of Fire II,Breath of Fire II
1995,Namco,0.79,9,Ridge Racer,Ridge Racer,Ridge Racer,Ridge Racer
1995,Psygnosis,0.06,7,3D Lemmings,3D Lemmings,3D Lemmings,3D Lemmings
1995,Sega,1.07,9,Virtua Fighter,Virtua Fighter,Virtua Fighter,Virtua Fighter
1995,Sierra Entertainment,1.11,6,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack
1995,Sony Computer Entertainment,1.56,7,Twisted Metal,Twisted Metal,Twisted Metal,Twisted Metal
1995,Ubisoft,3.03,7,Rayman,Rayman,Rayman,Rayman
1996,ASCII Entertainment,0.26,7.3,King's Field II,King's Field II,King's Field II,King's Field II
1996,Acclaim Entertainment,0.115,6.05,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game
1996,Accolade,0.19,5.8,Bubsy 3D,Bubsy 3D,Bubsy 3D,Bubsy 3D
1996,Atlus,0.45,8.1,Persona,Persona,Persona,Persona
1996,Capcom,1.34,8,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2
1996,Crystal Dynamics,0.44,7.8,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain
1996,EA Sports,0.77,7.3,Andretti Racing,Andretti Racing,Andretti Racing,Andretti Racing
1996,Eidos Interactive,5.66,8.7,Tomb Raider,Tomb Raider,Tomb Raider,Tomb Raider
1996,Fox Interactive,1.54,8.5,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy
1996,Interplay,0.83,4.9,Casper,Casper,Casper,Casper
1996,Konami,0.47,7.566666667,Contra: Legacy of War,Bottom of the 9th,Suikoden,Contra: Legacy of War
1996,Maxis,0.08,6,A-Train,A-Train,A-Train,A-Train
1996,Microprose,0,9.1,Sid Meier's Civilization II,Sid Meier's Civilization II,Sid Meier's Civilization II,Sid Meier's Civilization II
1996,Microsoft,5.12,7,Microsoft Flight Simulator,Microsoft Flight Simulator,Microsoft Flight Simulator,Microsoft Flight Simulator
1996,Midway Games,0.53,8.1,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey
1996,Mindscape,0.09,7.1,Blazing Dragons,3D Baseball,3D Baseball,Blazing Dragons
1996,Namco,5.74,9.1,Tekken 2,Tekken 2,Tekken 2,Tekken 2
1996,Playmates,0.12,6,Burning Road,Burning Road,Burning Road,Burning Road
1996,Psygnosis,0.04,7,Adidas Power Soccer,Adidas Power Soccer,Adidas Power Soccer,Adidas Power Soccer
1996,SSI,0.19,6.3,Allied General,Allied General,Allied General,Allied General
1996,Sega,0.353333333,7.9,NiGHTS into dreams...,Virtua Fighter Kids,NiGHTS into dreams...,Virtua Fighter Kids
1996,Sony Computer Entertainment,0.841428571,7.085714286,Twisted Metal 2,Philosoma,WipEout XL,Beyond The Beyond
1996,Virgin Interactive,0.07,4.4,Spot Goes to Hollywood,Spot Goes to Hollywood,Spot Goes to Hollywood,Spot Goes to Hollywood
1996,Working Designs,0.3,9,Dragon Force,Dragon Force,Dragon Force,Dragon Force
1997,ASCII Entertainment,0.53,6.1,Clock Tower,Clock Tower,Clock Tower,Clock Tower
1997,Acclaim Entertainment,0.47,8,Alien Trilogy,Alien Trilogy,Alien Trilogy,Alien Trilogy
1997,Activision,0.26,7.1,Nightmare Creatures,Nightmare Creatures,Nightmare Creatures,Nightmare Creatures
1997,Atlus,0.2,7.8,Ogre Battle Saga Episode Five: The March of the Black Queen,Ogre Battle Saga Episode Five: The March of the Black Queen,Snowboard Kids,Ogre Battle Saga Episode Five: The March of the Black Queen
1997,Capcom,0.12,7.1,Resident Evil,Buster Bros. Collection,Resident Evil,Buster Bros. Collection
1997,ESP,0.67,8.4,Grandia,Grandia,Grandia,Grandia
1997,Eidos Interactive,7.53,7.6,Tomb Raider II,Tomb Raider II,Tomb Raider II,Tomb Raider II
1997,Electronic Arts,1.4,6.4,Theme Hospital,WarCraft II: The Dark Saga,WarCraft II: The Dark Saga,Theme Hospital
1997,GT Interactive,0.483333333,5.233333333,Oddworld: Abe's Oddysee,Bugriders: The Race of Kings,Oddworld: Abe's Oddysee,Bugriders: The Race of Kings
1997,Hudson Soft,1.04,6.1,Bomberman 64,Bomberman 64,Bomberman 64,Bomberman 64
1997,Interplay,0.21,3.1,ClayFighter 63 1/3,ClayFighter 63 1/3,ClayFighter 63 1/3,ClayFighter 63 1/3
1997,Konami,0.58,7.666666667,Castlevania: Symphony of the Night,Bottom of the 9th '97,Castlevania: Symphony of the Night,Bottom of the 9th '97
1997,LucasArts,0.68,6.8,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi,Star Wars: Masters of Teras Kasi
1997,Midway Games,0.33,7.25,Doom 64,Mace: The Dark Age,Doom 64,Mace: The Dark Age
1997,Namco,1.635,8.55,Time Crisis,Soul Blade,Soul Blade,Time Crisis
1997,Nintendo,0.57,7.8,Blast Corps,Mischief Makers,Blast Corps,Mischief Makers
1997,Psygnosis,0.215,6.85,Colony Wars,The City of Lost Children,Colony Wars,The City of Lost Children
1997,Sony Computer Entertainment,0.537777778,7.022222222,Intelligent Qube,Codename Tenka,Wild ARMs,Spawn the Eternal
1997,THQ,0.14,5.3,Bravo Air Race,Bravo Air Race,Bravo Air Race,Bravo Air Race
1997,Tecmo,0.46,7.9,Dead or Alive,Dead or Alive,Dead or Alive,Dead or Alive
1997,Victory Lap Games,0.19,5.4,AeroFighters Assault,AeroFighters Assault,AeroFighters Assault,AeroFighters Assault
1997,Westwood Studios,0.405,8.1,Command & Conquer: Red Alert,Command & Conquer,Command & Conquer,Command & Conquer: Red Alert
1997,Working Designs,0.23,8.8,Alundra,Alundra,Alundra,Alundra
1998,989 Studios,0.806666667,5.766666667,Twisted Metal III,Cardinal Syn,Bust A Groove,Twisted Metal III
1998,ASC Games,2.56,6,Grand Theft Auto,Grand Theft Auto,Grand Theft Auto,Grand Theft Auto
1998,ASCII Entertainment,0.23,6.3,Backstreet Billiards,Aero Gauge,Armored Core: Project Phantasma,Aero Gauge
1998,Acclaim Entertainment,0.5825,5.55,South Park,Iggy's Reckin' Balls,Forsaken 64,South Park
1998,Activision,1.275,5.8,A Bug's Life,The Fifth Element,Tenchu: Stealth Assassins,A Bug's Life
1998,Atlus,0.21,7.433333333,Bomberman World,Ogre Battle Series: Tactics Ogre,Kartia: The Word of Fate,Bomberman World
1998,Capcom,1.04,6,Breath of Fire III,Breath of Fire III,Breath of Fire III,Breath of Fire III
1998,EA Sports,1.22,8.3,NBA Live 99,NBA Live 99,NBA Live 99,NBA Live 99
1998,ESP,0.03,9,Radiant Silvergun,Radiant Silvergun,Radiant Silvergun,Radiant Silvergun
1998,Eidos Interactive,2.14,7,Tomb Raider III: Adventures of Lara Croft,Akuji the Heartless,Tomb Raider III: Adventures of Lara Croft,Akuji the Heartless
1998,Electronic Arts,0.58,8.3,Diablo,Diablo,Diablo,Diablo
1998,Fortyfive,0.06,4.8,July,July,July,July
1998,GT Interactive,0.99,8.6,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus
1998,Interplay,0,9.2,Fallout 2,Fallout 2,Fallout 2,Fallout 2
1998,Konami,0.17,6.28,International Superstar Soccer '98,Kensei: Sacred Fist,International Superstar Soccer '98,C: The Contra Adventure
1998,Midway Games,0.82,7.65,NFL Blitz,Bio FREAKS,NFL Blitz,Bio FREAKS
1998,Mindscape,0.07,5.9,Circuit Breakers,Circuit Breakers,Circuit Breakers,Circuit Breakers
1998,Natsume,0.22,7.8,Bust-A-Move 4,Bust-A-Move 4,Bust-A-Move 4,Bust-A-Move 4
1998,Ocean,0.625,7.6,Mission: Impossible,Wetrix,Wetrix,Mission: Impossible
1998,Psygnosis,0.125,7.2,Colony Wars: Vengeance,Adidas Power Soccer 98,Colony Wars: Vengeance,Adidas Power Soccer 98
1998,Sega,0.106666667,6.6,The House of the Dead,Godzilla Generations,Panzer Dragoon Saga,Godzilla Generations
1998,Sony Computer Entertainment,0.333333333,7.266666667,Bloody Roar,Tomba!,Bloody Roar,Blasto
1998,Square,1.14,8.4,Brave Fencer Musashi,Brave Fencer Musashi,Brave Fencer Musashi,Brave Fencer Musashi
1998,Square EA,0.68,7.5,Bushido Blade 2,Bushido Blade 2,Bushido Blade 2,Bushido Blade 2
1998,THQ,0.263333333,7.066666667,Quest 64,The Granstream Saga,Brunswick Circuit Pro Bowling,Quest 64
1998,Take-Two Interactive,0.15,8.3,Space Station Silicon Valley,Space Station Silicon Valley,Space Station Silicon Valley,Space Station Silicon Valley
1998,Ubisoft,0.16,6.8,Buck Bumble,Buck Bumble,Buck Bumble,Buck Bumble
1999,3DO,0.81,4.2,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes
1999,989 Studios,1.09,4.8,Twisted Metal 4,3Xtreme,Twisted Metal 4,3Xtreme
1999,Acclaim Entertainment,0.3925,4.475,South Park: Chef's Luv Shack,Bust-A-Move '99,Bust-A-Move '99,South Park: Chef's Luv Shack
1999,Activision,2.956666667,6.033333333,Tony Hawk's Pro Skater,Blue Stinger,Tony Hawk's Pro Skater,A Collection of Intellivision Classic Games
1999,Agetec,0.13,5.466666667,Clock Tower II: The Struggle Within,Shadow Tower,Echo Night,Clock Tower II: The Struggle Within
1999,Atari,0.105,6.7,RollerCoaster Tycoon,Ballistic,Ballistic,RollerCoaster Tycoon
1999,Atlus,0.025,6.8,Tail Concerto,Bomberman Fantasy Race,Tail Concerto,Bomberman Fantasy Race
1999,Bandai,0.06,5.6,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion
1999,Capcom,0.286666667,7.666666667,Resident Evil 2,Marvel vs. Capcom: Clash of Super Heroes,Power Stone,Resident Evil 2
1999,Crave Entertainment,0.11,6.033333333,Asteroids Hyper 64,Broken Sword II: The Smoking Mirror,Broken Sword II: The Smoking Mirror,Fighting Force 64
1999,EA Sports,1.87,8.8,FIFA 2000,FIFA 2000,FIFA 2000,FIFA 2000
1999,Eidos Interactive,1.04,8.9,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
1999,Electronic Arts,2.466666667,7.166666667,Medal of Honor,System Shock 2,Beetle Adventure Racing!,Castrol Honda Superbike Racing
1999,Enix,0.26,7,Bust A Groove 2,Bust A Groove 2,Bust A Groove 2,Bust A Groove 2
1999,Fox Interactive,0.01,8.7,Aliens versus Predator,Aliens versus Predator,Aliens versus Predator,Aliens versus Predator
1999,GT Interactive,3.29,7,Driver,40 Winks,Driver,40 Winks
1999,Gathering of Developers,0.66,6.7,Darkstone,Darkstone,Darkstone,Darkstone
1999,Hasbro Interactive,0.65,5.9,Centipede,Centipede,Centipede,Centipede
1999,Human Entertainment,0.19,8,Fire ProWrestling G,Fire ProWrestling G,Fire ProWrestling G,Fire ProWrestling G
1999,Infogrames,0.1475,6.25,Bugs Bunny: Lost in Time,Starshot: Space Circus Fever,Bugs Bunny: Lost in Time,Starshot: Space Circus Fever
1999,Interplay,0.03,8.8,Planescape: Torment,Planescape: Torment,Planescape: Torment,Planescape: Torment
1999,Kemco,0.05,5.65,Shadowgate 64: Trials of the Four Towers,Charlie Blasts Territory,Charlie Blasts Territory,Shadowgate 64: Trials of the Four Towers
1999,Konami,0.57,7.42,Metal Gear Solid VR Missions,Vandal Hearts II,Suikoden II,Metal Gear Solid VR Missions
1999,Midway Games,0.64,7.3,Ready 2 Rumble Boxing,Arcade Party Pak,Paperboy,Gauntlet Legends
1999,Mindscape,0.15,7.5,Chessmaster II,Chessmaster II,Chessmaster II,Chessmaster II
1999,Namco,2.06,9.1,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4
1999,Natsume,0.48,7.8,Harvest Moon 64,Harvest Moon 64,Harvest Moon 64,Harvest Moon 64
1999,Psygnosis,0.07,6.6,Blast Radius,Blast Radius,Blast Radius,Blast Radius
1999,Rockstar Games,1.276666667,6.366666667,Grand Theft Auto 2,"Grand Theft Auto: Mission Pack #1, London 1969",Grand Theft Auto 2,Monster Truck Madness 64
1999,SNK,0.09,6.85,The King of Fighters: Dream Match 1999,Koudelka,The King of Fighters: Dream Match 1999,Koudelka
1999,Sega,0.785,8.6,Sonic Adventure,NBA 2K,NFL 2K,The House of the Dead 2
1999,Sony Computer Entertainment,1.885,8.7,Crash Team Racing,Bloody Roar II,Ape Escape,Legend of Legaia
1999,SouthPeak Interactive,0.11,4.5,BoomBots,BoomBots,BoomBots,BoomBots
1999,Square,0.3,6.7,Ehrgeiz,Ehrgeiz,Ehrgeiz,Ehrgeiz
1999,Square EA,0.646666667,6.733333333,Final Fantasy Anthology,Chocobo Racing,Final Fantasy Anthology,Chocobo Racing
1999,THQ,0.58,7.5,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael
1999,Take-Two Interactive,0.19,5.2,Bass Hunter 64,Alexi Lalas International Soccer,Bass Hunter 64,Alexi Lalas International Soccer
1999,Titus,0.105,3.85,Roadsters 99,Carmageddon 64,Roadsters 99,Carmageddon 64
1999,Ubisoft,0.376666667,7.366666667,Rayman 2: The Great Escape,All Star Tennis 99,Rayman 2: The Great Escape,All Star Tennis 99
1999,Working Designs,0.55,7.6,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete
2000,3DO,0.303333333,6.533333333,Army Men: Sarge's Heroes 2,Army Men: Air Combat,Army Men: Air Combat,Army Men: Sarge's Heroes 2
2000,Acclaim Entertainment,2.033333333,7.933333333,Crazy Taxi,All-Star Baseball 2001,All-Star Baseball 2001,Crazy Taxi
2000,Activision,2.49,8.033333333,Tony Hawk's Pro Skater 2,Alundra 2: A New Legend Begins,Tenchu 2: Birth of the Stealth Assassins,Alundra 2: A New Legend Begins
2000,Agetec,0.305,6.7,EverGrace,Armored Core: Master of Arena,Armored Core: Master of Arena,EverGrace
2000,Atari,4.73,7,Driver 2,Driver 2,Driver 2,Driver 2
2000,Atlus,0.283333333,8.166666667,Ogre Battle 64: Person of Lordly Caliber,Rhapsody: A Musical Adventure,Ogre Battle 64: Person of Lordly Caliber,Rhapsody: A Musical Adventure
2000,Capcom,0.56,8.466666667,Marvel vs. Capcom 2,Capcom vs. SNK,Capcom vs. SNK,Marvel vs. Capcom 2
2000,Codemasters,0.93,8.3,Colin McRae Rally 2.0,Colin McRae Rally 2.0,Colin McRae Rally 2.0,Colin McRae Rally 2.0
2000,Crave Entertainment,0.07,7.3,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs
2000,EA Sports,0.32,7.1,Championship Bass,Championship Bass,Championship Bass,Championship Bass
2000,Eidos Interactive,0.046666667,6.5,Chicken Run,John Romero's Daikatana,Deus Ex,John Romero's Daikatana
2000,Electronic Arts,0.691428571,7.485714286,007: The World is Not Enough,Shogun: Total War,Command & Conquer: Red Alert 2,007 Racing
2000,Fox Interactive,0.14,6.8,The Operative: No One Lives Forever,The Operative: No One Lives Forever,The Operative: No One Lives Forever,The Operative: No One Lives Forever
2000,Hasbro Interactive,0.11,4.9,Breakout,Breakout,Breakout,Breakout
2000,Infogrames,0.135,5.75,Bugs Bunny & Taz: Time Busters,Animorphs: Shattered Reality,Bugs Bunny & Taz: Time Busters,Animorphs: Shattered Reality
2000,Interplay,0,8.5,MDK2,MDK2,MDK2,MDK2
2000,Konami,0,8.5,Metal Gear Solid,Metal Gear Solid,Metal Gear Solid,Metal Gear Solid
2000,LucasArts,0.26,8.5,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo
2000,Mattel Interactive,0.06,7.2,Championship Surfer,Championship Surfer,Championship Surfer,Championship Surfer
2000,Maxis,0.05,8.9,The Sims,The Sims,The Sims,The Sims
2000,Midway Games,0.633333333,6.233333333,Ready 2 Rumble Boxing: Round 2,Colony Wars III: Red Sun,Colony Wars III: Red Sun,Ready 2 Rumble Boxing: Round 2
2000,Namco,2.06,7.4,Tekken Tag Tournament,Dragon Valor,Tekken Tag Tournament,Dragon Valor
2000,NewKidCo,0.2,7.3,Tigger's Honey Hunt,Tigger's Honey Hunt,Tigger's Honey Hunt,Tigger's Honey Hunt
2000,Nintendo,0.58,8.45,Excitebike 64,Starcraft 64,Excitebike 64,Starcraft 64
2000,Sega,0.388,8.46,NFL 2K1,Skies of Arcadia,NFL 2K1,Sakura Wars
2000,Sony Computer Entertainment,1.615,6.933333333,Crash Bash,NHL FaceOff 2001,Fantavision,NHL FaceOff 2001
2000,Square EA,0.673333333,8.166666667,SaGa Frontier 2,Threads of Fate,Vagrant Story,SaGa Frontier 2
2000,THQ,1.603333333,8.266666667,WWF SmackDown! 2: Know Your Role,Brunswick Circuit Pro Bowling 2,WWF No Mercy,Brunswick Circuit Pro Bowling 2
2000,Take-Two Interactive,0.625,5.85,Action Bass,Railroad Tycoon II,Railroad Tycoon II,Action Bass
2000,Tecmo,0.14,9,Dead or Alive 2,Dead or Alive 2,Dead or Alive 2,Dead or Alive 2
2000,Titus,0.04,4.7,Blues Brothers 2000,Roadsters,Blues Brothers 2000,Roadsters
2000,Ubisoft,0.29,4.7,Grandia II,Batman Beyond: Return of the Joker,Grandia II,Batman Beyond: Return of the Joker
2000,Vatical Entertainment,0.12,7.9,Bomberman Party Edition,Bomberman Party Edition,Bomberman Party Edition,Bomberman Party Edition
2000,Working Designs,0.21,7.25,Lunar 2: Eternal Blue Complete,Vanguard Bandits,Lunar 2: Eternal Blue Complete,Vanguard Bandits
2001,3DO,0.0325,6.25,Portal Runner,Army Men Advance,Portal Runner,High Heat Major League Baseball 2002
2001,AIA,0,6.4,Dokapon: Monster Hunter,Dokapon: Monster Hunter,Dokapon: Monster Hunter,Dokapon: Monster Hunter
2001,Acclaim Entertainment,0.2675,7.025,18 Wheeler: American Pro Trucker,XGIII: Extreme G Racing,XGIII: Extreme G Racing,18 Wheeler: American Pro Trucker
2001,Activision,1.445,7.925,Tony Hawk's Pro Skater 3,Alienators: Evolution Continues,Bomberman Tournament,Alienators: Evolution Continues
2001,Agetec,0.083333333,6.833333333,The King of Fighters '99,Boxing,The King of Fighters: Evolution,Boxing
2001,BAM! Entertainment,0.1525,7.25,Dexter's Laboratory Deesaster Strikes,Driven,Fire ProWrestling,Dexter's Laboratory Deesaster Strikes
2001,Capcom,0.262,7.3,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK: Millennium Fight 2000 Pro,Final Fight One,Resident Evil 3: Nemesis
2001,Conspiracy Entertainment,0,7,Gadget Racers,Gadget Racers,Gadget Racers,Gadget Racers
2001,Crave Entertainment,0.113333333,4.233333333,Blaster Master: Blasting Again,The Flintstones: Big Trouble in Bedrock,Blaster Master: Blasting Again,Kabuki Warriors
2001,EA Sports,0.61,8.6,Madden NFL 2002,Madden NFL 2002,Madden NFL 2002,Madden NFL 2002
2001,EA Sports BIG,2.27,8.4,SSX Tricky,SSX Tricky,SSX Tricky,SSX Tricky
2001,Electronic Arts,1.906666667,6.1,The Simpsons: Road Rage,Cel Damage,Harry Potter and the Sorcerer's Stone,Cel Damage
2001,Gathering of Developers,2.29,8.25,Max Payne,Tropico,Tropico,Max Payne
2001,Infogrames,0.08,7.9,Alone in the Dark: The New Nightmare,Sid Meier's Civilization III,Sid Meier's Civilization III,Alone in the Dark: The New Nightmare
2001,Kemco,0.05,5.05,Universal Studios Theme Parks Adventure,Phalanx,Universal Studios Theme Parks Adventure,Phalanx
2001,Konami,0.459166667,6.308333333,Frogger's Adventures: Temple of the Frog,ESPN Great Outdoor Games Bass 2002,Ring of Red,Frogger: The Great Quest
2001,LEGO Media,0.06,6.4,LEGO Bionicle,LEGO Bionicle,LEGO Bionicle,LEGO Bionicle
2001,LucasArts,1.9,9.2,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II
2001,Majesco,0.315,6.916666667,F-14 Tomcat,Denki Blocks!,Denki Blocks!,Iridion 3D
2001,Metro 3D,0.09,4.6,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse
2001,Microsoft,0.47,7.9,Shenmue II,Shenmue II,Shenmue II,Shenmue II
2001,Midway Games,0.14,6.15,Shadow Hearts,Cruis'n Velocity,Shadow Hearts,Cruis'n Velocity
2001,Namco,0.355,7.975,Tales of Destiny II,Klonoa: Empire of Dreams,Klonoa 2: Lunatea's Veil,Vampire Night
2001,Natsume,0.4,7.8,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland
2001,NewKidCo,0.01,3.5,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial
2001,Nintendo,0.968333333,8.283333333,The Legend of Zelda: Oracle of Ages,KuruKuru Kururin,Advance Wars,Dr. Mario 64
2001,Rare,0.77,9.2,Conker's Bad Fur Day,Conker's Bad Fur Day,Conker's Bad Fur Day,Conker's Bad Fur Day
2001,Rockstar Games,13.11,9.1,Grand Theft Auto III,Grand Theft Auto III,Grand Theft Auto III,Grand Theft Auto III
2001,Sega,0.311428571,8.585714286,Super Monkey Ball,The Typing of the Dead,Super Monkey Ball,ChuChu Rocket!
2001,Sierra Entertainment,0.6,8.4,Half-Life,Half-Life,Half-Life,Half-Life
2001,Sony Computer Entertainment,1.621666667,8.383333333,Jak and Daxter: The Precursor Legacy,Formula One 2001,Jak and Daxter: The Precursor Legacy,Formula One 2001
2001,Square,0.52,9.2,Final Fantasy Chronicles,Final Fantasy Chronicles,Final Fantasy Chronicles,Final Fantasy Chronicles
2001,THQ,0.461428571,7.2,Red Faction,Hot Wheels: Burnin' Rubber,Red Faction,Aidyn Chronicles: The First Mage
2001,Telegames,0,5.2,BackTrack,BackTrack,BackTrack,BackTrack
2001,Titus,0.01,3.9,Kao the Kangaroo,Kao the Kangaroo,Kao the Kangaroo,Kao the Kangaroo
2001,Ubisoft,0.3525,7.025,Batman: Vengeance,American Bass Challenge,Rayman 2: Revolution,Batman: Vengeance
2001,Universal Interactive,6.01,6,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex
2002,3DO,0.09,6.05,Army Men: RTS,High Heat Major League Baseball 2003,Army Men: RTS,High Heat Major League Baseball 2003
2002,Acclaim Entertainment,0.231111111,6.777777778,Aggressive Inline,Dave Mirra Freestyle BMX 3,Dave Mirra Freestyle BMX 3,Jeremy McGrath Supercross World
2002,Activision,1.293636364,7.618181818,Spider-Man: The Movie,Medieval: Total War,Tony Hawk's Pro Skater 4,The Invincible Iron Man
2002,Atari,0.373333333,6.744444444,RollerCoaster Tycoon 2,Unreal Tournament 2003,Unreal Tournament 2003,Godzilla: Domination!
2002,Atlus,0.24,7.7,Tactics Ogre: The Knight of Lodis,Dual Hearts,Tactics Ogre: The Knight of Lodis,Cubivore: Survival of the Fittest
2002,BAM! Entertainment,0.19,5.84,The Powerpuff Girls: Relish Rampage,Kong: The Animated Series,Broken Sword: The Shadow of the Templars,The Powerpuff Girls: Relish Rampage
2002,Bethesda Softworks,2.86,8.2,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind
2002,Capcom,0.435,8.2,Maximo: Ghosts to Glory,Steel Battalion,Maximo: Ghosts to Glory,Steel Battalion
2002,Conspiracy Entertainment,1.06,5.6,Seek and Destroy,Seek and Destroy,Seek and Destroy,Seek and Destroy
2002,Crave Entertainment,0.04,7.9,Ultimate Fighting Championship: Throwdown,Freedom Force,Freedom Force,Ultimate Fighting Championship: Throwdown
2002,"Destination Software, Inc",0.17,7.7,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance
2002,Disney Interactive Studios,0.495,5.825,Disney's Lilo & Stitch,Disney's Peter Pan: Return to Never Land,Disney's Lilo & Stitch,Disney's Peter Pan: Return to Never Land
2002,DreamCatcher Interactive,0,7.1,Extreme Ghostbusters,Extreme Ghostbusters,Extreme Ghostbusters,Extreme Ghostbusters
2002,EA Sports,1.013333333,8.3,Madden NFL 2003,FIFA Soccer 2003,NCAA Football 2003,FIFA Soccer 2003
2002,Eidos Interactive,0.396666667,7.9,TimeSplitters 2,Deus Ex: The Conspiracy,TimeSplitters 2,Mister Mosquito
2002,Electronic Arts,2.272727273,7.309090909,Medal of Honor: Frontline,Medal of Honor: Allied Assault,Medal of Honor: Allied Assault,Galidor: Defenders of the Outer Dimension
2002,Enix,0.38,6.7,Grandia Xtreme,Grandia Xtreme,Grandia Xtreme,Grandia Xtreme
2002,Gathering of Developers,0.74,6.5,Mafia,Mafia,Mafia,Mafia
2002,Infogrames,0.655,6.25,Dragon Ball Z: The Legacy of Goku,Monopoly Party,Monopoly Party,Zapper: One Wicked Cricket!
2002,Interplay,0.48,7.1,Hunter: The Reckoning,Hunter: The Reckoning,Hunter: The Reckoning,Hunter: The Reckoning
2002,KOEI,0.09,6.8,Mystic Heroes,Mystic Heroes,Mystic Heroes,Mystic Heroes
2002,Kemco,0,7.533333333,Boulder Dash EX,Boulder Dash EX,Boulder Dash EX,Egg Mania
2002,Knowledge Adventure,0.25,6,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles
2002,Konami,0.346875,6.5875,Metal Gear Solid 2: Substance,AirForce Delta Storm,Castlevania: Harmony of Dissonance,Disney Sports Skateboarding
2002,LucasArts,0.313333333,7.4,Star Wars: Clone Wars,Star Wars Jedi Knight II: Jedi Outcast,Star Wars Racer Revenge,Star Wars Jedi Knight II: Jedi Outcast
