title,total_sales,release_date,critic_score,genre,publisher
Lionheart: Kings' Crusade,0.01,2010-10-08,6.3,Strategy,Paradox Interactive
Lips,0.77,2008-11-18,7.1,Misc,Microsoft Game Studios
Little Dragons Café,0.13,2018-08-24,7.0,Simulation,Aksys Games
LittleBigPlanet,2.61,2009-11-17,8.8,Platform,Sony Computer Entertainment
LittleBigPlanet 2,3.43,2011-01-18,9.1,Platform,Sony Computer Entertainment
LittleBigPlanet: Game of the Year Edition,0.0,2009-09-08,9.5,Platform,Sony Computer Entertainment
LocoRoco,0.39,2006-09-05,8.1,Platform,Sony Computer Entertainment
LocoRoco 2,0.36,2009-02-10,8.5,Platform,Sony Computer Entertainment
Lode Runner 3-D,0.1,1999-01-01,7.0,Action,Infogrames
London 2012: The Official Video Game of the Olympic Games,1.23,2012-06-26,5.5,Sports,Sega
Looney Tunes: Duck Amuck,0.3,2007-10-09,6.4,Action,Warner Bros. Interactive
Lord of Arcana,0.34,2011-01-25,4.7,Role-Playing,Square Enix
Lord of Magna: Maiden Heaven,0.06,2015-06-02,7.0,Role-Playing,Xseed Games
Lord of the Rings: Tactics,0.13,2005-11-08,6.9,Strategy,Electronic Arts
Lost Kingdoms,0.17,2002-05-27,7.3,Role-Playing,Activision
Lost Kingdoms II,0.06,2003-05-21,6.6,Role-Playing,Activision
Lost Odyssey,0.9,2008-02-12,7.5,Role-Playing,Microsoft Game Studios
Lost Planet 2,1.71,2010-05-11,6.5,Shooter,Capcom
Lost Planet: Extreme Condition,0.64,2008-02-26,6.3,Shooter,Capcom
Lost Planet: Extreme Condition Colonies Edition,0.0,2008-05-27,7.8,Shooter,Capcom
Lost Sphear,0.06,2018-01-23,6.0,Role-Playing,Square Enix
Lost in Shadow,0.12,2011-01-04,6.7,Platform,Hudson Soft
Lufia: Curse of the Sinistrals,0.16,2010-10-12,7.8,Role-Playing,Natsume
Luigi's Mansion,0.47,2018-10-12,7.3,Adventure,Nintendo
Lumines ll,0.3,2006-11-06,8.0,Puzzle,Buena Vista
Luminous Arc,0.24,2007-08-14,6.8,Role-Playing,Atlus
Luminous Arc 2,0.22,2008-11-18,7.5,Role-Playing,Atlus
Lunar 2: Eternal Blue Complete,0.35,2000-12-15,8.1,Role-Playing,Working Designs
Lunar Knights,0.23,2007-02-06,8.2,Role-Playing,Konami
Lunar Legend,0.19,2002-12-08,7.7,Role-Playing,Ubisoft
Lunar: Dragon Song,0.12,2005-09-27,5.9,Role-Playing,Ubisoft
Lunar: Silver Star Harmony,0.24,2010-03-02,7.9,Role-Playing,Xseed Games
Lunar: Silver Star Story Complete,0.55,1999-05-28,7.6,Role-Playing,Working Designs
MAG: Massive Action Game,1.32,2010-01-26,7.4,Shooter,Sony Computer Entertainment
MC Groovz Dance Craze,0.2,2004-11-22,2.5,Misc,Mad Catz
MDK2,0.0,2000-05-31,8.5,Shooter,Interplay
METRO 2033,0.78,2010-03-16,7.4,Shooter,THQ
MLB,0.24,2005-04-12,8.0,Sports,Sony Computer Entertainment
MLB 06: The Show,0.35,2006-02-28,8.3,Sports,Sony Computer Entertainment
MLB 07: The Show,0.28,2007-02-27,8.1,Sports,Sony Computer Entertainment
MLB 08: The Show,0.33,2008-03-04,8.3,Sports,Sony Computer Entertainment
MLB 09: The Show,0.99,2009-03-03,8.8,Sports,Sony Computer Entertainment
MLB 10: The Show,0.94,2010-03-02,7.0,Sports,Sony Computer Entertainment
MLB 11: The Show,0.59,2011-03-08,8.9,Sports,Sony Computer Entertainment
MLB 13: The Show,0.99,2013-03-05,7.6,Sports,Sony Computer Entertainment America
MLB 14 The Show,1.28,2014-04-01,7.1,Sports,Sony Computer Entertainment
MLB Power Pros,0.29,2007-10-03,8.5,Sports,2K Sports
MLB SlugFest 20-04,0.04,2003-03-16,8.0,Sports,Midway Games
MVP Baseball,0.21,2005-05-18,6.6,Sports,Electronic Arts
MVP Baseball 2004,0.26,2004-03-09,8.9,Sports,EA Sports
MVP Baseball 2005,0.33,2005-02-22,8.7,Sports,EA Sports
MX 2002 Featuring Ricky Carmichael,0.56,2001-07-03,8.0,Racing,THQ
MX vs. ATV Reflex,0.24,2009-12-01,5.3,Racing,THQ
MX vs. ATV Unleashed: On the Edge,0.69,2006-02-27,7.3,Racing,THQ
MX vs. ATV Untamed,0.65,2007-12-17,5.6,Racing,THQ
MX vs. ATV: Alive,1.01,2011-05-10,6.9,Racing,THQ
Mace: The Dark Age,0.19,1997-10-01,7.1,Fighting,Midway Games
MadWorld,0.78,2009-03-10,8.1,Action,Sega
Madagascar,3.44,2005-05-23,5.5,Platform,Activision
Madden NFL 06,6.82,2005-08-08,7.7,Sports,EA Sports
Madden NFL 07,3.74,2006-08-22,6.9,Sports,EA Sports
Madden NFL 08,3.16,2007-08-14,7.3,Sports,EA Sports
Madden NFL 09,5.14,2008-08-12,6.9,Sports,EA Sports
Madden NFL 09 All-Play (weekly US sales),0.0,2008-08-12,8.0,Sports,Electronic Arts
Madden NFL 10,6.59,2009-08-14,7.5,Sports,EA Sports
Madden NFL 11,5.82,2010-08-10,6.8,Sports,EA Sports
Madden NFL 12,5.41,2011-08-30,7.0,Sports,EA Sports
Madden NFL 13,6.22,2012-08-28,6.2,Sports,EA Sports
Madden NFL 16,7.59,2015-08-25,8.0,Sports,EA Sports
Madden NFL 17,5.72,2016-08-23,8.1,Sports,EA Sports
Madden NFL 18,4.53,2017-08-25,8.2,Sports,EA Sports
Madden NFL 2002,0.61,2001-11-17,8.6,Sports,EA Sports
Madden NFL 2003,4.569999999999999,2002-08-12,9.1,Sports,EA Sports
Madden NFL 2004,5.74,2003-08-12,9.2,Sports,EA Sports
Madden NFL 2005,5.23,2004-08-09,9.2,Sports,EA Sports
Madden NFL 25,6.16,2013-08-27,7.1,Sports,EA Sports
Madden NFL Football,0.41,2011-03-22,4.5,Sports,EA Sports
Mafia,0.74,2002-08-28,6.5,Action,Gathering of Developers
Mafia II,3.05,2010-08-24,7.0,Action,2K Games
Mafia III,3.9800000000000004,2016-10-07,6.8,Action-Adventure,2K Games
Magna Carta 2,0.3,2009-10-13,6.6,Role-Playing,Namco Bandai
Magna Carta: Tears of Blood,0.22,2005-11-16,6.1,Role-Playing,Atlus
Mahjong Cub3D,0.09,2011-10-11,6.9,Puzzle,Atlus
Majin and the Forsaken Kingdom,0.48,2010-11-23,7.0,Adventure,Namco Bandai
Major League Baseball 2K10,1.11,2010-03-02,2.8,Sports,2K Sports
Major League Baseball 2K6,1.43,2006-04-03,6.2,Sports,2K Sports
Major League Baseball 2K7,0.09,2007-02-26,6.3,Sports,2K Sports
Major League Baseball 2K8,0.03,2008-03-03,6.5,Sports,2K Sports
Major League Baseball 2K9,0.09,2009-03-23,6.0,Sports,2K Sports
Major Minor's Majestic March,0.05,2009-04-02,4.5,Misc,Majesco
Makai Kingdom: Chronicles of the Sacred Tome,0.12,2005-07-26,7.9,Role-Playing,NIS America
Mall Tycoon,0.0,2002-02-03,4.7,Strategy,Take-Two Interactive
Mall Tycoon 3,0.0,2005-10-26,6.8,Strategy,Global Star Software
Mana Khemia 2: Fall of Alchemy,0.2,2009-08-25,8.2,Role-Playing,NIS America
Mana Khemia: Alchemists of Al-Revis,0.06,2008-04-01,6.6,Role-Playing,NIS America
Mana Khemia: Alchemists of Al-Revis (JP sales),0.04,2008-04-01,6.6,Role-Playing,NIS America
Mana Khemia: Student Alliance,0.11,2009-03-10,3.2,Role-Playing,Nippon Ichi Software
Manhunt,1.47,2003-11-18,7.7,Action,Rockstar Games
Manhunt 2,0.54,2007-10-29,5.8,Action,Rockstar Games
Marble Saga: Kororinpa,0.16,2009-03-17,7.4,Puzzle,Konami
Mario & Sonic at the London 2012 Olympic Games,1.19,2012-02-14,6.5,Sports,Sega
Mario & Sonic at the Olympic Games,5.1,2008-01-22,7.0,Sports,Sega
Mario & Sonic at the Olympic Winter Games,8.01,2009-10-13,6.8,Sports,Sega
Mario & Sonic at the Sochi 2014 Olympic Winter Games,0.8,2013-11-15,5.9,Sports,Nintendo
Mario Golf: World Tour,0.49,2014-05-02,8.1,Sports,Nintendo
Mario Party: Star Rush,0.87,2016-11-04,6.2,Party,Nintendo
Mario Party: The Top 100,0.69,2017-11-10,5.0,Party,Nintendo
Mario Sports Superstars,0.46,2017-03-24,6.0,Sports,Nintendo
Mario Tennis Ultra Smash,0.54,2015-11-20,6.1,Sports,Nintendo
Mario vs. Donkey Kong: Tipping Stars,0.1,2015-03-05,6.4,Puzzle,Nintendo
Marvel Nemesis: Rise of the Imperfects,0.7,2005-09-20,6.0,Fighting,Electronic Arts
Marvel Super Hero Squad: The Infinity Gauntlet,0.1,2011-10-11,4.8,Action,THQ
Marvel vs. Capcom 2,0.9,2000-06-29,8.2,Fighting,Capcom
Marvel vs. Capcom 3: Fate of Two Worlds,2.43,2011-02-15,8.2,Fighting,Capcom
Marvel vs. Capcom: Clash of Super Heroes,0.1,1999-10-07,8.5,Fighting,Capcom
Marvel: Ultimate Alliance,4.4799999999999995,2006-10-24,6.9,Role-Playing,Activision
Marvel: Ultimate Alliance 2,1.96,2009-09-15,5.6,Role-Playing,Activision
Mass Effect,3.58,2007-11-20,9.1,Role-Playing,Electronic Arts
Mass Effect 2,4.95,2010-01-26,9.3,Role-Playing,Electronic Arts
Mass Effect 3,4.78,2012-03-06,8.9,Role-Playing,Electronic Arts
Master of the Monster Lair,0.11,2008-10-31,6.9,Role-Playing,Atlus
Mat Hoffman's Pro BMX 2,0.46,2002-08-12,8.1,Sports,Activision
Matt Hazard: Blood Bath and Beyond,0.0,2010-01-06,6.6,Shooter,D3 Publisher
Max Payne,4.58,2001-07-23,7.8,Action,Gathering of Developers
Max Payne 2: The Fall of Max Payne,2.0100000000000002,2003-10-14,6.8,Shooter,Rockstar Games
Maximo: Ghosts to Glory,0.77,2002-02-11,8.7,Platform,Capcom
Me & My Katamari,0.23,2006-03-21,7.2,Puzzle,Namco
Mech Platoon,0.0,2002-01-03,7.6,Strategy,Kemco
Medabots: Infinity,0.05,2003-12-14,5.4,Role-Playing,Natsume
Medal of Honor,8.129999999999999,1999-11-11,6.7,Shooter,Electronic Arts
Medal of Honor European Assault,0.25,2005-06-07,7.9,Shooter,Electronic Arts
Medal of Honor Heroes,2.66,2006-10-20,6.7,Shooter,Electronic Arts
Medal of Honor Heroes 2,1.16,2007-11-13,6.6,Shooter,Electronic Arts
Medal of Honor: Allied Assault,0.0,2002-01-20,9.3,Shooter,Electronic Arts
Medal of Honor: Frontline,7.42,2002-05-28,8.0,Shooter,Electronic Arts
Medal of Honor: Rising Sun,5.55,2003-11-11,5.9,Shooter,Electronic Arts
MediEvil: Resurrection,0.82,2005-09-13,6.5,Adventure,Sony Computer Entertainment
Medieval Moves: Deadmund's Quest,0.28,2011-11-15,7.0,Action,Sony Computer Entertainment
Medieval: Total War,0.0,2002-08-19,9.0,Strategy,Activision
Mega Man 11,0.36,2018-10-02,8.0,Platform,Capcom
Mega Man Anniversary Collection,0.42,2004-06-22,7.5,Platform,Capcom
Mega Man Legacy Collection 1+2,0.25,2018-05-22,8.5,Platform,Capcom
Mega Man Maverick Hunter X,0.31,2006-01-31,7.9,Platform,Capcom
Mega Man Powered Up,0.14,2006-03-14,8.7,Platform,Capcom
Mega Man Star Force 3: Black Ace / Red Joker,0.46,2009-06-30,5.7,Role-Playing,Capcom
Mega Man X Collection,0.37,2006-01-10,7.5,Misc,Capcom
Mega Man X: Command Mission,0.12,2004-09-21,7.2,Role-Playing,Capcom
Mega Man ZX,0.28,2006-09-12,8.1,Platform,Capcom
Mega Man ZX Advent,0.33,2007-10-23,7.6,Platform,Capcom
Mega Man Zero Collection,0.31,2010-06-08,7.5,Platform,Capcom
Men of War,0.03,2009-03-16,9.0,Strategy,Aspyr
Men of War: Assault Squad,0.06,2011-02-25,8.0,Strategy,1C Company
Mercenaries 2: World in Flames,1.9300000000000002,2008-08-31,6.0,Shooter,Electronic Arts
Mercury Meltdown Revolution,0.17,2007-08-14,8.0,Action,Ignition Entertainment
Metal Gear Ac!d,0.87,2005-03-22,7.4,Strategy,Konami
Metal Gear Ac!d 2,0.18,2006-03-21,8.3,Strategy,Konami
Metal Gear Online,0.0,2008-06-12,8.1,Action,Konami Digital Entertainment
Metal Gear Rising: Revengeance,1.5,2013-02-19,9.0,Action,Konami Digital Entertainment
Metal Gear Solid,0.0,2000-09-24,8.5,Action,Konami
Metal Gear Solid 2: Substance,1.1400000000000001,2002-11-04,7.8,Action,Konami
Metal Gear Solid 3: Subsistence,0.55,2006-03-14,9.4,Action,Konami
Metal Gear Solid HD Collection,0.9,2011-11-08,9.1,Action,Konami
Metal Gear Solid V: Ground Zeroes,2.2,2014-03-18,7.6,Action-Adventure,Konami Digital Entertainment
Metal Gear Solid VR Missions,1.18,1999-09-24,6.8,Adventure,Konami
Metal Gear Solid: Digital Graphic Novel,0.04,2006-06-13,7.6,Misc,Konami
Metal Gear Solid: Peace Walker,2.08,2010-06-08,8.6,Action,Konami
Metal Gear Solid: Portable Ops,1.19,2006-12-05,8.7,Action,Konami
Metal Gear Solid: Portable Ops Plus,0.69,2007-11-13,6.9,Action,Konami
Metal Gear Solid: Snake Eater 3D,0.42000000000000004,2012-02-21,7.9,Action,Konami
Metal Gear Solid: The Essential Collection,0.46,2008-03-18,9.0,Adventure,Konami
Metal Saga,0.03,2006-04-25,6.1,Role-Playing,Atlus
Metal Slug 7,0.14,2008-11-18,6.9,Shooter,Ignition Entertainment
Metal Slug XX,0.04,2010-02-23,6.9,Shooter,Atlus
Meteos,0.23,2005-06-28,8.8,Puzzle,Nintendo
Meteos: Disney Magic,0.04,2007-02-20,7.3,Puzzle,Disney Interactive Studios
Metroid Prime Pinball,0.26,2005-10-24,7.6,Misc,Nintendo
Metroid Prime: Federation Force,0.15,2016-08-19,6.3,Action,Nintendo
Metroid Prime: Trilogy,0.61,2009-08-24,9.0,Shooter,Nintendo
Metroid: Other M,1.36,2010-08-31,7.7,Action,Nintendo
Metroid: Samus Returns,0.56,2017-09-15,9.1,Action-Adventure,Nintendo
Metroid: Zero Mission,0.84,2004-02-09,8.9,Adventure,Nintendo
MetropolisMania,0.09,2002-10-03,6.8,Strategy,Natsume
MetropolisMania 2,0.01,2007-08-28,4.3,Strategy,Natsume
Miami Law,0.1,2009-06-09,5.5,Adventure,Hudson Entertainment
Michael Jackson: The Experience,5.24,2010-11-23,5.6,Misc,Ubisoft
Microsoft Flight Simulator,5.12,1996-10-31,7.0,Simulation,Microsoft
Midnight Club 3: DUB Edition,3.66,2005-06-27,7.2,Racing,Rockstar Games
Midnight Club: LA Remix,0.99,2008-10-20,7.7,Racing,Rockstar Games
Midnight Club: Los Angeles,4.9,2008-10-20,8.0,Racing,Rockstar Games
Midway Arcade Treasures,0.17,2003-12-18,6.8,Misc,Midway Games
Midway Arcade Treasures 2,0.16,2004-10-11,7.2,Misc,Midway Games
Midway Arcade Treasures 3,0.07,2005-10-26,6.1,Misc,Midway Games
Midway Arcade Treasures: Extended Play,0.24,2005-12-13,5.6,Misc,Midway Games
Might & Magic Heroes VI,0.35,2011-10-13,7.4,Role-Playing,Ubisoft
Might & Magic: Clash of Heroes,0.18,2009-12-01,8.6,Role-Playing,Ubisoft
MindJack,0.28,2011-01-18,4.5,Shooter,Square Enix
Minecraft,10.06,2014-10-07,5.5,Misc,Mojang
Mini Ninjas,0.71,2009-09-08,7.4,Action,Eidos Interactive
Mirror's Edge,2.29,2008-11-11,7.6,Platform,Electronic Arts
Mischief Makers,0.43,1997-10-01,6.5,Platform,Nintendo
Mission: Impossible,1.17,1998-07-18,6.6,Action,Ocean
Mission: Impossible - Operation Surma,0.02,2004-03-23,7.3,Action,Atari
Mister Mosquito,0.28,2002-03-12,6.6,Shooter,Eidos Interactive
ModNation Racers,1.67,2010-05-25,7.7,Racing,Sony Computer Entertainment
Monopoly Party,0.13,2002-11-20,7.3,Misc,Infogrames
Monopoly for Nintendo Switch,0.3,2017-10-31,5.3,Board Game,Ubisoft
Monster 4x4: Masters of Metal,0.05,2003-12-10,5.1,Racing,Ubisoft
Monster Boy and the Cursed Kingdom,0.04,2018-11-06,8.0,Action-Adventure,FDG Entertainment
Monster Hunter 3 Ultimate,0.71,2013-03-19,8.7,Role-Playing,Capcom
Monster Hunter Generations Ultimate,0.72,2018-08-28,7.7,Action,Capcom
Monster Hunter Stories,0.7,2017-09-08,8.1,Role-Playing,Capcom
Monster Hunter: World,0.93,2018-01-26,9.4,Action,Capcom
Monster Tale,0.06,2011-03-22,7.7,Platform,Majesco
Monster Truck Madness 64,0.3,1999-06-30,5.5,Racing,Rockstar Games
Monsters vs. Aliens,0.17,2009-03-24,6.5,Platform,Activision
"Monsters, Inc. Scream Arena",0.37,2002-09-14,3.8,Platform,THQ
Moon,0.05,2009-01-13,6.7,Shooter,Mastiff
Mortal Kombat,2.7,2011-04-19,8.3,Fighting,Warner Bros. Interactive
Mortal Kombat (2011),5.73,2011-04-19,8.5,Fighting,Warner Bros. Interactive Entertainment
Mortal Kombat vs DC Universe,4.04,2008-11-16,7.6,Fighting,Midway Games
Mortal Kombat: Armageddon,1.29,2006-10-09,6.8,Fighting,Midway Games
Mortal Kombat: Deadly Alliance,2.9000000000000004,2002-11-16,8.2,Action,Midway Games
Mortal Kombat: Deception,2.75,2004-10-04,7.2,Fighting,Midway Games
Mortal Kombat: Shaolin Monks,0.69,2005-09-16,8.0,Action,Midway Games
Mortal Kombat: Unchained,0.74,2006-11-15,7.0,Fighting,Midway Games
MotionSports,0.69,2010-11-04,4.1,Sports,Ubisoft
MotoGP '06,0.14,2006-06-12,8.3,Racing,THQ
MotoGP '07,0.25,2007-08-27,7.7,Racing,THQ
MotoGP 08,0.35,2008-10-28,6.8,Racing,Capcom
MotoGP 09/10,0.39,2010-03-23,7.0,Racing,Capcom
MotoGP 10/11,0.23,2011-03-15,6.0,Racing,Capcom
MotorStorm RC,0.07,2012-03-06,8.1,Racing,Sony Computer Entertainment
MotorStorm: Apocalypse,0.49,2011-05-03,7.6,Racing,Sony Computer Entertainment
MotorStorm: Arctic Edge,1.3800000000000001,2009-09-29,7.4,Racing,Sony Computer Entertainment
Mount & Blade,0.02,2008-09-16,7.2,Role-Playing,Paradox Interactive
Mount & Blade: With Fire & Sword,0.0,2011-05-03,6.6,Role-Playing,Paradox Interactive
Move Fitness,0.21,2013-03-26,5.0,Sports,Sony Computer Entertainment
Muppet Pinball Mayhem,0.0,2002-05-29,7.9,Misc,NewKidCo
Mushroom Men: The Spore Wars,0.18,2008-12-02,7.3,Action,SouthPeak Interactive
Musynx,0.01,2018-06-19,7.5,Music,PM Studios
Mx vs. ATV Reflex,0.72,2009-12-01,7.4,Racing,THQ
My Fitness Coach,2.32,2008-12-02,7.1,Sports,Ubisoft
My Spanish Coach,0.13,2008-10-07,7.0,Misc,Ubisoft
MySims,5.3100000000000005,2007-09-18,6.7,Simulation,Electronic Arts
MySims Agents,1.05,2009-09-29,7.5,Adventure,Electronic Arts
MySims SkyHeroes,0.3,2010-09-28,6.4,Action,Electronic Arts
Mystery Case Files: The Malgrave Incident,0.33,2011-06-27,6.3,Adventure,Nintendo
Mystery Dungeon: Shiren the Wanderer,0.52,2008-03-04,7.1,Role-Playing,Sega
Mystic Heroes,0.09,2002-09-30,6.8,Action,KOEI
N3: Ninety-Nine Nights,0.3,2006-08-15,6.3,Action,Microsoft Game Studios
NARC,0.54,2005-03-22,5.5,Shooter,Midway Games
NASCAR,0.1,2006-09-06,7.2,Racing,EA Sports
NASCAR '14,0.11,2014-02-18,7.0,Racing,Deep Silver
NASCAR 09,0.25,2008-06-10,7.1,Racing,EA Sports
NASCAR 2011: The Game,0.8,2011-03-29,4.3,Racing,Activision
NASCAR Thunder 2003,0.31,2002-09-19,8.8,Racing,EA Sports
NBA,0.21,2005-03-16,6.4,Sports,Sony Computer Entertainment
NBA 06,0.22,2005-10-04,7.2,Sports,Sony Computer Entertainment
NBA 07,0.2,2006-09-25,6.9,Sports,Sony Computer Entertainment
NBA 08,0.03,2007-10-12,7.2,Sports,Sony Computer Entertainment
NBA 09: The Inside,0.17,2008-10-07,8.2,Sports,Sony Computer Entertainment
NBA 10 The Inside,0.08,2009-10-06,6.5,Sports,Sony Computer Entertainment
NBA 2K,0.05,1999-11-10,8.9,Sports,Sega
NBA 2K10,2.55,2009-10-06,5.1,Sports,2K Sports
NBA 2K11,2.11,2010-10-05,8.8,Sports,2K Sports
NBA 2K12,4.93,2011-10-04,8.5,Sports,2K Sports
NBA 2K13,5.91,2012-10-02,7.6,Sports,2K Sports
NBA 2K16,6.390000000000001,2015-09-29,8.3,Sports,2K Sports
NBA 2K17,5.5600000000000005,2016-09-16,8.8,Sports,2K Sports
NBA 2K18,5.99,2017-09-19,7.0,Sports,2K Sports
NBA 2K2,0.12,2002-03-20,8.8,Sports,Sega
NBA 2K6,0.23,2005-11-16,8.0,Action,2K Sports
NBA 2K7,1.79,2006-09-25,8.1,Sports,2K Sports
NBA 2K9,2.3,2008-10-07,7.0,Sports,2K Sports
NBA Ballers: Rebound,0.1,2006-05-09,7.3,Sports,Midway Games
NBA Courtside 2002,0.25,2002-01-13,7.6,Sports,Nintendo
NBA Jam,0.41,2010-10-05,8.0,Sports,EA Sports
NBA Live 06,0.71,2005-10-04,6.5,Sports,EA Sports
NBA Live 07,2.34,2006-09-25,6.0,Sports,EA Sports
NBA Live 08,0.31,2007-10-01,6.8,Sports,Electronic Arts
NBA Live 09,0.39,2008-10-07,6.1,Sports,Electronic Arts
NBA Live 10,0.78,2009-10-06,5.9,Sports,EA Sports
NBA Live 2003,0.3,2002-10-08,8.4,Sports,EA Sports
NBA Live 2004,0.27,2003-10-15,8.4,Sports,EA Sports
NBA Live 2005,0.45,2004-09-28,8.5,Sports,EA Sports
NBA Live 99,1.22,1998-10-31,8.3,Sports,EA Sports
NBA Street Vol. 2,0.54,2003-04-28,8.8,Sports,EA Sports BIG
NBA Street: Showdown,0.22,2005-04-27,7.5,Sports,Electronic Arts
NCAA Football 07,3.36,2006-07-18,7.6,Sports,EA Sports
NCAA Football 09,0.23,2008-07-15,6.5,Sports,EA Sports
NCAA Football 09 All-Play,0.16,2008-07-15,5.3,Sports,EA Sports
NCAA Football 10,2.54,2009-07-14,7.0,Sports,EA Sports
NCAA Football 11,2.16,2010-07-13,6.4,Sports,EA Sports
NCAA Football 12,1.83,2011-07-12,7.7,Sports,EA Sports
NCAA Football 13,2.04,2012-07-10,7.1,Sports,EA Sports
NCAA Football 14,2.05,2013-07-09,7.6,Sports,EA Sports
NCAA Football 2003,0.21,2002-07-20,9.2,Sports,EA Sports
NCAA Football 2004,1.8199999999999998,2003-07-16,8.1,Sports,EA Sports
NCAA Gamebreaker,0.26,1996-08-31,6.3,Sports,Sony Computer Entertainment
NERF N-Strike Elite,1.0,2009-10-26,7.5,Shooter,Electronic Arts
NFL 2K,1.2,1999-09-09,9.7,Sports,Sega
NFL 2K1,1.09,2000-09-07,9.6,Sports,Sega
NFL 2K3,0.22,2002-08-21,9.0,Sports,Sega
NFL Blitz,1.5,1998-09-12,9.1,Sports,Midway Games
NFL Blitz 20-03,0.14,2002-08-12,7.8,Sports,Midway Games
NFL Street,0.35,2004-01-13,8.3,Sports,EA Sports BIG
NFL Street 2,0.2,2004-12-22,8.2,Sports,EA Sports BIG
NFL Street 2 Unleashed,0.37,2005-03-21,7.4,Sports,Electronic Arts
NFL Street 3,0.27,2006-11-14,6.7,Sports,EA Sports BIG
NHL 07,0.98,2006-09-12,7.2,Sports,EA Sports
NHL 09,0.5,2008-09-09,9.0,Sports,Electronic Arts
NHL 10,1.23,2009-09-15,9.1,Sports,EA Sports
NHL 11,1.3199999999999998,2010-09-07,8.8,Sports,EA Sports
NHL 12,1.2799999999999998,2011-09-13,8.6,Sports,EA Sports
NHL 13,1.34,2012-09-11,8.2,Sports,Electronic Arts
NHL 2K10,0.6499999999999999,2009-09-15,6.5,Sports,2K Sports
NHL 2K11,0.27,2010-08-24,6.3,Sports,2K Sports
NHL 2K6,0.1,2005-11-16,7.3,Sports,2K Sports
NHL 2K7,0.22,2006-09-12,7.7,Sports,2K Sports
NHL FaceOff 2001,0.43000000000000005,2000-09-05,4.6,Sports,Sony Computer Entertainment
NHL Slapshot,0.42,2010-09-07,7.6,Sports,EA Sports
NPPL Championship Paintball 2009,0.12,2008-11-18,4.9,Shooter,Activision
Namco Museum,0.63,2002-10-09,5.3,Misc,Namco
Namco Museum Arcade Pac,0.11,2018-09-28,7.8,Misc,Bandai Namco Entertainment
Namco Museum Battle Collection,1.09,2005-08-23,7.9,Misc,Namco
Namco Museum: Virtual Arcade,0.31,2008-11-04,7.0,Misc,Namco Bandai
Nano Assault,0.08,2011-12-01,6.0,Shooter,Majesco
Napoleon Dynamite: The Game,0.04,2007-10-23,4.3,Puzzle,Crave Entertainment
Napoleon: Total War,0.67,2010-02-23,8.5,Strategy,Sega
Naruto Powerful Shippuden,0.16,2013-03-05,8.0,Action-Adventure,Namco Bandai Games
Naruto Shippuden: Dragon Blade Chronicles,0.18,2010-11-16,4.3,Action,Atlus
Naruto Shippuden: Kizuna Drive,0.14,2011-03-22,7.0,Action,Namco Bandai
Naruto Shippuden: Legends: Akatsuki Rising,0.15,2009-10-06,5.8,Fighting,Namco Bandai
Naruto Shippuden: Ultimate Ninja Storm 2,0.78,2010-10-19,7.6,Fighting,Namco Bandai
Naruto: Clash of Ninja 2,1.04,2006-09-26,7.4,Fighting,D3 Publisher
Naruto: Rise of a Ninja,0.33,2007-10-30,7.8,Action,Ubisoft
Naruto: The Broken Bond,0.59,2008-11-18,7.6,Action,Ubisoft
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,0.16,2008-06-24,6.2,Fighting,Namco Bandai
Naruto: Ultimate Ninja Storm,1.07,2008-11-04,7.8,Fighting,Namco Bandai
Naughty Bear,0.85,2010-06-29,4.4,Action,505 Games
Need for Speed (2015),3.46,2015-11-03,6.7,Racing,Electronic Arts
Need for Speed Carbon,6.38,2006-10-31,6.4,Racing,Electronic Arts
Need for Speed Carbon: Own the City,2.42,2006-10-31,7.4,Racing,Electronic Arts
Need for Speed Underground,7.2,2003-11-17,8.6,Racing,Electronic Arts
Need for Speed Underground 2,9.61,2004-11-15,6.5,Racing,Electronic Arts
Need for Speed Underground Rivals,1.32,2005-03-14,7.6,Racing,Electronic Arts
Need for Speed: Hot Pursuit,5.84,2010-11-16,5.0,Racing,Electronic Arts
Need for Speed: Hot Pursuit 2,3.73,2002-10-01,6.7,Racing,Electronic Arts
Need for Speed: Most Wanted,7.220000000000001,2005-11-15,8.4,Racing,Electronic Arts
Need for Speed: Most Wanted (2012),5.75,2012-10-30,7.4,Racing,Electronic Arts
Need for Speed: Most Wanted 5-1-0,2.09,2005-11-15,7.4,Racing,Electronic Arts
Need for Speed: Nitro,1.21,2009-11-02,7.0,Racing,Electronic Arts
Need for Speed: Payback,2.93,2017-11-10,5.8,Racing,Electronic Arts
Need for Speed: ProStreet,4.87,2007-11-13,5.6,Racing,Electronic Arts
Need for Speed: Shift,4.62,2009-09-15,8.2,Racing,Electronic Arts
Need for Speed: Shift 2 Unleashed,1.3,2011-03-29,8.4,Racing,Electronic Arts
Need for Speed: The Run,3.38,2011-11-15,5.5,Racing,Electronic Arts
Need for Speed: Undercover,4.52,2008-11-17,5.4,Racing,Electronic Arts
Neo Contra,0.21,2004-10-19,6.9,Shooter,Konami
Neon Genesis Evangelion,0.06,1999-06-25,5.6,Action,Bandai
Neverwinter Nights 2,0.02,2006-11-01,8.0,Role-Playing,Atari
Neverwinter Nights 2: Mask of the Betrayer,0.01,2007-10-09,8.0,Role-Playing,Atari
